lr,hidden_dim1,hidden_dim2,weight_decay,activation,best_val_acc,elapsed,weight_path
0.01,1024,1024,0.0,tanh,0.5925925925925926,256.9,search_weights/model_lr0.01_h1024-1024_wd0.0_tanh.npz
0.01,2048,512,0.001,tanh,0.5923456790123457,586.5,search_weights/model_lr0.01_h2048-512_wd0.001_tanh.npz
0.01,512,256,0.001,tanh,0.5920987654320987,0,search_weights/model_lr0.01_h512-256_wd0.001_tanh.npz
0.01,1024,512,0.0,tanh,0.591604938271605,242.4,search_weights/model_lr0.01_h1024-512_wd0.0_tanh.npz
0.01,1024,1024,0.001,tanh,0.591604938271605,288.8,search_weights/model_lr0.01_h1024-1024_wd0.001_tanh.npz
0.01,1024,256,0.0005,tanh,0.5911111111111111,0,search_weights/model_lr0.01_h1024-256_wd0.0005_tanh.npz
0.01,512,512,0.0,tanh,0.5898765432098766,142.0,search_weights/model_lr0.01_h512-512_wd0.0_tanh.npz
0.01,512,512,0.001,tanh,0.5898765432098766,0,search_weights/model_lr0.01_h512-512_wd0.001_tanh.npz
0.01,512,256,0.0,tanh,0.5879012345679012,138.9,search_weights/model_lr0.01_h512-256_wd0.0_tanh.npz
0.01,512,1024,0.0005,tanh,0.5879012345679012,166.0,search_weights/model_lr0.01_h512-1024_wd0.0005_tanh.npz
0.01,1024,512,0.001,tanh,0.5876543209876544,0,search_weights/model_lr0.01_h1024-512_wd0.001_tanh.npz
0.001,2048,512,0.0005,relu,0.5846913580246914,574.4,search_weights/model_lr0.001_h2048-512_wd0.0005_relu.npz
0.01,512,256,0.0005,tanh,0.5822222222222222,0,search_weights/model_lr0.01_h512-256_wd0.0005_tanh.npz
0.001,2048,512,0.0,relu,0.5822222222222222,483.0,search_weights/model_lr0.001_h2048-512_wd0.0_relu.npz
0.001,2048,512,0.001,relu,0.5809876543209876,578.3,search_weights/model_lr0.001_h2048-512_wd0.001_relu.npz
0.001,2048,1024,0.0,relu,0.5804938271604938,500.7,search_weights/model_lr0.001_h2048-1024_wd0.0_relu.npz
0.001,1024,1024,0.0,relu,0.5797530864197531,246.0,search_weights/model_lr0.001_h1024-1024_wd0.0_relu.npz
0.001,2048,1024,0.0005,relu,0.577283950617284,1512.6,search_weights/model_lr0.001_h2048-1024_wd0.0005_relu.npz
0.001,2048,1024,0.001,relu,0.577283950617284,613.4,search_weights/model_lr0.001_h2048-1024_wd0.001_relu.npz
0.001,2048,256,0.001,relu,0.577037037037037,561.6,search_weights/model_lr0.001_h2048-256_wd0.001_relu.npz
0.001,1024,1024,0.0005,relu,0.5730864197530864,279.5,search_weights/model_lr0.001_h1024-1024_wd0.0005_relu.npz
0.001,2048,256,0.0005,relu,0.5730864197530864,560.0,search_weights/model_lr0.001_h2048-256_wd0.0005_relu.npz
0.001,1024,512,0.0005,relu,0.5723456790123457,265.2,search_weights/model_lr0.001_h1024-512_wd0.0005_relu.npz
0.001,1024,1024,0.001,relu,0.5711111111111111,279.9,search_weights/model_lr0.001_h1024-1024_wd0.001_relu.npz
0.001,512,1024,0.0,relu,0.5706172839506173,146.3,search_weights/model_lr0.001_h512-1024_wd0.0_relu.npz
0.001,512,1024,0.0005,relu,0.5703703703703704,164.6,search_weights/model_lr0.001_h512-1024_wd0.0005_relu.npz
